Title	Name	Type	Answer Options	Hint	Summary Title
What type of adult social care do you provide?	CareSettingType	RadiosField	Residential care home | Nursing care home | Residential and nursing care home | Supported living | Extra care | Domiciliary or home care | Rehabilitation, reablement or respite | Other adult social care		Setting type
Do you have any positive test results for an acute respiratory infection?	PositiveARI	RadiosField	Yes | No	The infection must have been confirmed by a test, for example a lateral flow test, flu swab test or a laboratory test.	Positive test result
Which acute respiratory infections do you have a positive test result for?	WhichARI	CheckboxesField	COVID-19 | Flu | Any other acute respiratory infections	You can select more than one option	Infection
	TwoOrMoreCovid	RadiosField	Yes | No		2 or more cases
	TwoOrMoreCovid	RadiosField	Yes | No		2 or more cases
Did symptoms in 2 or more cases start within 5 days of each other?	TwoOrMoreCovid5days	RadiosField	Yes | No | Not sure		Symptoms started within 5 days of each other
Is it possible that at least 2 of the cases are linked by spread in your setting?​	TwoOrMoreCovidSpread	RadiosField	Yes | No | Not sure		The cases are linked by spread
Are you reporting 2 or more cases of an acute respiratory infection?	TwoOrMoreARI	RadiosField	Yes | No		2 or more cases
Are you reporting 2 or more cases of an acute respiratory infection that is not COVID-19 or flu?	TwoOrMoreCasesNotCovidFlu	RadiosField	Yes | No	This includes viruses such as respiratory syncytial virus, rhinovirus, parainfluenza and chest infections	2 or more cases
What infection are you reporting?	ARIInfectionType	CheckboxesField	Adenovirus | Human Metapneumovirus (hMPV) | Parainfluenza | Respiratory Syncytial Virus (RSV) | Rhinovirus | Other acute respiratory infection	You can select more than one option	Infection type
How many service users have symptoms of an acute respiratory infection, but have not been tested for any infection?	ServiceUsersSymptomsNotTested	NumberField		Include those who are currently in hospital or on visits out<br>If none, enter 0	
How many service users have been tested for COVID-19?	ServiceUsersTestedCovid	NumberField		If none, enter 0	
How many service users have been tested for flu?	ServiceUsersTestedFlu	NumberField		If none, enter 0	
How many service users have tested positive for adenovirus?	ServiceUsersAdenovirus	NumberField		Include those who are currently in hospital or on visits out	
How many service users have tested positive for human Metapneumovirus (hMPV)?	ServiceUsersHmpv	NumberField		Include those who are currently in hospital or on visits out	
How many service users have tested positive for parainfluenza?	ServiceUsersParainfluenza	NumberField		Include those who are currently in hospital or on visits out	
How many service users have tested positive for Respiratory Syncytial Virus (RSV)?	ServiceUsersRSV	NumberField		Include those who are currently in hospital or on visits out	
How many service users have tested positive for rhinovirus?	ServiceUsersRhinovirus	NumberField		Include those who are currently in hospital or on visits out	
